Taxa	Q1	Q2	Q3
811	0.572	0.112	0.851
4226	0.024	0.669	0.348
4722	0.035	0.186	0.101
33-16	0.312	0.771	0.321
Nov-38	0.835	0.889	0.423
A188	0.943	0.143	0.705
A214N	0.585	0.911	0.037
A239	0.311	0.038	0.303
A272	0.052	0.309	0.279
A441-5	0.692	0.908	0.769
A554	0.556	0.013	0.137
A556	0.567	0.849	0.753
A6	0.279	0.519	0.876
A619	0.921	0.924	0.934
A632	0.265	0.454	0.115
A634	0.255	0.126	0.176
A635	0.722	0.838	0.041
A641	0.975	0.850	0.261
A654	0.840	0.702	0.701
A659	0.451	0.364	0.801
A661	0.229	0.739	0.347
A679	0.387	0.141	0.631
A680	0.382	0.615	0.992
A682	0.371	0.255	0.624
AB28A	0.194	0.698	0.671
B10	0.120	0.588	0.964
B103	0.438	0.877	0.971
B104	0.118	0.343	0.643
B105	0.411	0.501	0.449
B109	0.601	0.694	0.493
B115	0.788	0.363	0.579
B14A	0.810	0.375	0.097
B164	0.958	0.788	0.420
B2	0.470	0.351	0.436
B37	0.254	0.351	0.612
B46	0.489	0.355	0.562
B52	0.033	0.557	0.762
B57	0.362	0.268	0.487
B64	0.496	0.927	0.063
B68	0.776	0.096	0.432
B73	0.170	0.184	0.165
B73HTRHM	0.995	0.984	0.752
B75	0.349	0.857	0.951
B76	0.947	0.573	0.158
B77	0.309	0.018	0.176
B79	0.445	0.916	0.024
B84	0.667	0.776	0.445
B97	0.180	0.686	0.457
C103	0.528	0.550	0.045
C123	0.119	0.642	0.511
C49	0.862	0.565	0.717
C49A	0.913	0.957	0.342
CH701-30	0.610	0.473	0.071
CH9	0.717	0.696	0.453
CI187-2	0.439	0.518	0.239
CI21E	0.134	0.500	0.365
CI28A	0.730	0.927	0.564
CI31A	0.676	0.235	0.120
CI3A	0.912	0.045	0.439
CI44	0.774	0.374	0.292
CI64	0.543	0.256	0.734
CI66	0.146	0.394	0.236
CI7	0.778	0.893	0.045
CI90C	0.916	0.827	0.101
CI91B	0.594	0.459	0.305
CM105	0.748	0.296	0.986
CM174	0.380	0.060	0.371
CM37	0.411	0.901	0.629
CM7	0.656	0.556	0.186
CML10	0.065	0.679	0.263
CML103	0.871	0.008	0.984
CML108	0.120	0.937	0.588
CML11	0.778	0.044	0.325
CML14	0.413	0.347	0.271
CML154Q	0.937	0.296	0.433
CML157Q	0.625	0.314	0.203
CML158Q	0.818	0.662	0.303
CML218	0.290	0.605	0.072
CML220	0.152	0.404	0.032
CML228	0.705	0.215	0.168
CML238	0.195	0.536	0.685
CML247	0.194	0.708	0.152
CML254	0.506	0.793	0.243
CML258	0.963	0.262	0.492
CML261	0.722	0.395	0.077
CML264	0.867	0.139	0.902
CML277	0.765	0.959	0.117
CML281	0.746	0.397	0.031
CML287	0.992	0.063	0.385
CML311	0.000	0.320	0.077
CML314	0.648	0.241	0.959
CML321	0.413	0.927	0.864
CML322	0.538	0.802	0.587
CML323	0.485	0.318	0.048
CML328	0.401	0.402	0.125
CML331	0.019	0.131	0.008
CML332	0.443	0.133	0.997
CML333	0.006	0.527	0.602
CML341	0.579	0.048	0.200
CML349	0.430	0.685	0.920
CML38	0.150	0.425	0.865
CML45	0.720	0.058	0.687
CML5	0.250	0.409	0.862
CML52	0.779	0.048	0.689
CML69	0.851	0.909	0.425
CML77	0.461	0.489	0.740
CML91	0.583	0.839	0.074
CML92	0.040	0.126	0.489
CMV3	0.246	0.117	0.748
CO106	0.643	0.350	0.438
CO109	0.524	0.096	0.450
CO125	0.266	0.883	0.641
CO255	0.879	0.927	0.135
D940Y	0.362	0.508	0.968
DE1	0.008	0.762	0.477
DE2	0.626	0.379	0.733
DE3	0.087	0.347	0.815
DE811	0.596	0.208	0.724
E2558W	0.349	0.982	0.933
EP1	0.108	0.601	0.136
F2	0.627	0.715	0.326
F2834T	0.005	0.748	0.128
F44	0.934	0.863	0.923
F6	0.205	0.582	0.091
F7	0.904	0.421	0.273
GA209	0.870	0.456	0.702
GT112	0.393	0.265	0.649
H100	0.663	0.159	0.070
H105W	0.108	0.604	0.650
H49	0.743	0.901	0.421
H84	0.020	0.576	0.516
H91	0.307	0.069	0.290
H95	0.866	0.937	0.591
H99	0.604	0.892	0.746
HI27	0.659	0.481	0.443
HP301	0.013	0.549	0.523
HY	0.869	0.634	0.950
I137TN	0.626	0.504	0.219
I205	0.458	0.676	0.808
I29	0.176	0.566	0.306
IA2132	0.314	0.872	0.478
IA5125	0.343	0.931	0.049
IDS28	0.262	0.074	0.183
IDS69	0.324	0.999	0.029
IDS91	0.410	0.378	0.050
IL101	0.385	0.149	0.538
IL14H	0.116	0.404	0.938
IL677A	0.749	0.807	0.655
K148	0.196	0.826	0.350
K4	0.783	0.373	0.661
K55	0.403	0.916	0.294
K64	0.921	0.855	0.223
KI11	0.595	0.026	0.475
KI14	0.497	0.857	0.418
KI2007	0.056	0.901	0.673
KI2021	0.431	0.616	0.152
KI21	0.343	0.451	0.790
KI3	0.621	0.792	0.742
KI43	0.306	0.690	0.025
KI44	0.201	0.635	0.104
KY21	0.961	0.805	0.372
KY226	0.617	0.610	0.785
KY228	0.707	0.800	0.145
L317	0.614	0.954	0.488
L578	0.536	0.626	0.051
M14	0.267	0.728	0.589
M162W	0.848	0.815	0.637
M37W	0.271	0.694	0.515
MEF15655	0.466	0.448	0.347
MEF156-55-2	0.306	0.494	0.454
MO17	0.157	0.012	0.811
MO18W	0.453	0.407	0.188
MO1W	0.228	0.451	0.032
MO24W	0.810	0.487	0.265
MO44	0.194	0.033	0.546
MO45	0.793	0.830	0.721
MO46	0.752	0.233	0.011
MO47	0.632	0.284	0.120
MOG	0.031	0.129	0.877
MP339	0.852	0.767	0.252
MS1334	0.675	0.243	0.120
MS153	0.968	0.151	0.868
MS71	0.618	0.173	0.466
MT42	0.499	0.539	0.916
N192	0.915	0.461	0.674
N28HT	0.761	0.494	0.928
N6	0.660	0.692	0.393
N7A	0.366	0.612	0.469
NC222	0.048	0.916	0.192
NC230	0.524	0.813	0.446
NC232	0.690	0.418	0.371
NC236	0.470	0.554	0.396
NC238	0.504	0.496	0.613
NC250	0.246	0.647	0.058
NC258	0.986	0.210	0.390
NC260	0.739	0.437	0.829
NC262	0.145	0.092	0.691
NC264	0.518	0.462	0.410
NC268	0.326	0.069	0.412
NC290A	0.249	0.863	0.424
NC292	0.364	0.317	0.510
NC294	0.515	0.162	0.517
NC296	0.308	0.943	0.984
NC296A	0.373	0.426	0.096
NC298	0.037	0.023	0.752
NC300	0.684	0.529	0.929
NC302	0.003	0.368	0.568
NC304	0.920	0.799	0.822
NC306	0.930	0.542	0.016
NC308	0.105	0.722	0.393
NC310	0.640	0.403	0.862
NC312	0.256	0.713	0.201
NC314	0.149	0.164	0.388
NC316	0.217	0.788	0.312
NC318	0.589	0.074	0.254
NC320	0.161	0.123	0.152
NC322	0.060	0.592	0.654
NC324	0.575	0.078	0.096
NC326	0.302	0.042	0.946
NC328	0.619	0.847	0.199
NC33	0.725	0.913	0.525
NC330	0.509	0.469	0.893
NC332	0.887	0.107	0.224
NC334	0.285	0.673	0.626
NC336	0.653	0.760	0.144
NC338	0.226	0.563	0.611
NC340	0.462	0.043	0.253
NC342	0.799	0.861	0.116
NC344	0.225	0.130	0.664
NC346	0.580	0.615	0.179
NC348	0.418	0.329	0.523
NC350	0.562	0.267	0.554
NC352	0.271	0.994	0.329
NC354	0.944	0.343	0.993
NC356	0.638	0.192	0.868
NC358	0.670	0.584	0.575
NC360	0.917	0.481	0.436
NC362	0.999	0.899	0.887
NC364	0.903	0.649	0.413
NC366	0.990	0.010	0.376
NC368	0.887	0.529	0.895
NC370	0.919	0.534	0.711
NC372	0.345	0.415	0.596
ND246	0.047	0.934	0.134
OH40B	0.092	0.636	0.929
OH43	0.510	0.101	0.684
OH43E	0.462	0.513	0.242
OH603	0.685	0.910	0.762
OH7B	0.102	0.469	0.145
OS420	0.362	0.927	0.004
P39	0.716	0.189	0.444
PA762	0.158	0.126	0.124
PA875	0.225	0.276	0.316
PA880	0.521	0.991	0.482
PA91	0.234	0.803	0.485
Q6199	0.342	0.237	0.900
R109B	0.756	0.411	0.047
R168	0.216	0.136	0.952
R177	0.049	0.476	0.648
R229	0.129	0.386	0.753
R4	0.797	0.070	0.502
SA24	0.942	0.615	0.719
SC213R	0.177	0.143	0.317
SC357	0.688	0.522	0.568
SC55	0.469	0.444	0.280
SD40	0.160	0.669	0.344
SD44	0.904	0.211	0.021
SG1533	0.728	0.103	0.750
SG18	0.818	0.671	0.821
T232	0.576	0.564	0.924
T234	0.838	0.428	0.776
T8	0.145	0.924	0.522
TX303	0.625	0.025	0.237
TX601	0.034	0.305	0.741
TZI10	0.648	0.212	0.603
TZI11	0.826	0.261	0.750
TZI16	0.127	0.386	0.986
TZI18	0.913	0.703	0.622
TZI25	0.589	0.344	0.412
TZI8	0.569	0.862	0.866
TZI9	0.310	0.918	0.228
U267Y	0.680	0.649	0.032
VA102	0.467	0.401	0.927
VA14	0.615	0.845	0.410
VA17	0.832	0.247	0.765
VA22	0.454	0.005	0.548
VA26	0.031	0.771	0.018
VA35	0.456	0.597	0.630
VA59	0.632	0.505	0.316
VA85	0.964	0.246	0.099
VA99	0.806	0.230	0.637
VAW6	0.633	0.987	0.099
W117HT	0.576	0.633	0.290
W153R	0.546	0.110	0.011
W182B	0.870	0.157	0.515
W22	0.489	0.253	0.967
W401	0.394	0.430	0.753
W64A	0.567	0.533	0.708
WD	0.903	0.258	0.134
WF9	0.404	0.498	0.353
YU796NS	0.555	0.482	0.166
